material_id,description,category,unit_price,stock_qty,safety_stock,plant_code,created_on
MAT-0001,Advanced high-level leverage,Chemicals,3959.33,310,87,PLT-HYD,2025-11-02 18:34:18
MAT-0002,Persevering responsive hub,Raw Material,1460.29,326,67,PLT-PUN,2026-06-30 12:01:05
MAT-0003,Front-line upward-trending circuit,Finished Goods,3470.93,47,84,PLT-CHE,2026-06-06 21:53:14
MAT-0004,Extended logistical initiative,Chemicals,3115.14,285,39,PLT-COI,2025-12-17 19:28:22
MAT-0005,Exclusive system-worthy challenge,Chemicals,2102.88,473,47,PLT-COI,2026-06-12 09:52:52
MAT-0006,Customer-focused responsive website,Raw Material,1202.59,340,92,PLT-CHE,2026-04-26 21:11:33
MAT-0007,Optimized scalable pricing structure,Packaging,176.28,189,83,PLT-COI,2025-12-30 13:48:26
MAT-0008,Reduced neutral alliance,Chemicals,2864.74,499,92,PLT-PUN,2025-10-22 09:03:30
MAT-0009,Programmable regional capability,Packaging,2447.88,439,34,PLT-PUN,2026-02-20 08:01:17
MAT-0010,Automated systematic function,Packaging,3246.0,458,85,PLT-CHE,2025-11-09 09:10:24
MAT-0011,Multi-lateral leadingedge array,Packaging,3185.6,359,78,PLT-CHE,2025-12-08 02:37:17
MAT-0012,Seamless mobile emulation,Raw Material,3346.73,145,26,PLT-HYD,2025-09-30 00:58:59
MAT-0013,Cross-platform tangible throughput,Chemicals,3775.16,282,87,PLT-PUN,2026-03-18 16:29:45
MAT-0014,User-friendly even-keeled middleware,Chemicals,3489.8,252,35,PLT-PUN,2026-04-29 06:10:01
MAT-0015,Multi-layered optimal productivity,Spare Parts,702.18,440,70,PLT-HYD,2026-08-02 08:12:01
MAT-0016,Advanced empowering implementation,Packaging,830.93,469,34,PLT-PUN,2026-06-24 18:22:00
MAT-0017,Fully-configurable directional algorithm,Raw Material,1916.0,415,53,PLT-PUN,2026-06-04 10:12:20
MAT-0018,Synchronized holistic concept,Packaging,3915.58,19,39,PLT-PUN,2026-02-26 16:47:45
MAT-0019,Organic regional product,Spare Parts,3240.49,265,34,PLT-COI,2026-04-28 22:20:57
MAT-0020,Automated well-modulated open architecture,Packaging,2170.68,45,48,PLT-COI,2026-02-02 15:20:44
MAT-0021,Exclusive bottom-line hardware,Chemicals,3610.64,492,95,PLT-COI,2025-08-14 06:15:35
MAT-0022,Profound explicit Local Area Network,Spare Parts,612.05,95,78,PLT-HYD,2026-04-06 13:24:36
MAT-0023,Operative encompassing access,Packaging,1540.05,115,57,PLT-COI,2025-10-03 22:48:13
MAT-0024,Assimilated optimizing utilization,Packaging,3259.1,293,86,PLT-HYD,2026-02-05 07:44:28
MAT-0025,Organized coherent initiative,Raw Material,3642.98,89,72,PLT-COI,2026-02-19 12:14:12
MAT-0026,Fully-configurable exuding project,Spare Parts,4577.23,130,98,PLT-CHE,2026-03-24 12:09:59
MAT-0027,Universal zero-defect contingency,Raw Material,4898.3,236,39,PLT-HYD,2025-09-23 04:34:26
MAT-0028,Distributed zero-defect task-force,Raw Material,3009.63,233,62,PLT-HYD,2026-02-27 04:30:38
MAT-0029,Ameliorated client-driven contingency,Spare Parts,1156.43,447,61,PLT-PUN,2025-10-02 10:17:08
