order_id,customer_id,material_id,qty,status,region,created_on
SO-0001,C-075,MAT-0014,82,Open,South,2026-08-11 20:02:14
SO-0002,C-044,MAT-0239,3,Closed,North,2026-08-11 20:04:09
SO-0003,C-097,MAT-0340,14,Cancelled,Central,2026-08-11 20:02:59
SO-0004,C-072,MAT-0137,2,Closed,West,2026-08-11 20:03:34
SO-0005,C-051,MAT-0308,50,Cancelled,South,2026-08-11 20:03:36
SO-0006,C-014,MAT-0172,64,Closed,Central,2026-08-11 20:02:16
SO-0007,C-050,MAT-0064,73,Closed,Central,2026-08-11 20:03:48
SO-0008,C-001,MAT-0183,99,Cancelled,Central,2026-08-11 20:02:07
SO-0009,C-022,MAT-0016,39,Open,South,2026-08-11 20:04:30
SO-0010,C-056,MAT-0422,79,Cancelled,East,2026-08-11 20:02:08
SO-0011,C-092,MAT-0029,79,Closed,East,2026-08-11 20:03:55
SO-0012,C-035,MAT-0355,15,Closed,South,2026-08-11 20:04:46
SO-0013,C-015,MAT-0487,38,Open,Central,2026-08-11 20:03:45
SO-0014,C-088,MAT-0334,52,Cancelled,West,2026-08-11 20:04:34
SO-0015,C-020,MAT-0042,9,Cancelled,South,2026-08-11 20:04:56
SO-0016,C-023,MAT-0083,68,Open,West,2026-08-11 20:04:54
SO-0017,C-035,MAT-0021,57,Cancelled,South,2026-08-11 20:02:47
SO-0018,C-049,MAT-0235,100,Closed,Central,2026-08-11 20:04:24
SO-0019,C-008,MAT-0309,13,Closed,East,2026-08-11 20:03:59
SO-0020,C-006,MAT-0123,95,Open,Central,2026-08-11 20:03:05
SO-0021,C-040,MAT-0357,11,Open,East,2026-08-11 20:04:20
SO-0022,C-004,MAT-0317,34,Open,West,2026-08-11 20:02:44
SO-0023,C-036,MAT-0036,83,Closed,East,2026-08-11 20:02:07
SO-0024,C-059,MAT-0060,30,Closed,Central,2026-08-11 20:04:56
SO-0025,C-026,MAT-0271,1,Open,South,2026-08-11 20:02:01
SO-0026,C-050,MAT-0112,90,Cancelled,Central,2026-08-11 20:02:15
SO-0027,C-089,MAT-0215,76,Open,West,2026-08-11 20:03:02
SO-0028,C-036,MAT-0062,84,Closed,Central,2026-08-11 20:02:10
SO-0029,C-008,MAT-0129,75,Closed,North,2026-08-11 20:02:44
SO-0030,C-010,MAT-0036,38,Open,East,2026-08-11 20:03:44
SO-0031,C-046,MAT-0168,27,Closed,Central,2026-08-11 20:04:06
SO-0032,C-090,MAT-0007,49,Closed,North,2026-08-11 20:02:09
SO-0033,C-079,MAT-0457,100,Cancelled,East,2026-08-11 20:04:24
SO-0034,C-074,MAT-0090,96,Cancelled,North,2026-08-11 20:04:34
SO-0035,C-011,MAT-0042,16,Open,East,2026-08-11 20:02:36
SO-0036,C-019,MAT-0122,5,Cancelled,West,2026-08-11 20:02:02
SO-0037,C-010,MAT-0341,83,Closed,East,2026-08-11 20:04:05
SO-0038,C-025,MAT-0416,12,Cancelled,Central,2026-08-11 20:03:24
SO-0039,C-021,MAT-0486,64,Closed,East,2026-08-11 20:03:20
SO-0040,C-064,MAT-0199,43,Cancelled,Central,2026-08-11 20:03:11
SO-0041,C-034,MAT-0351,97,Open,North,2026-08-11 20:02:08
SO-0042,C-079,MAT-0146,60,Open,East,2026-08-11 20:03:04
SO-0043,C-086,MAT-0416,71,Cancelled,North,2026-08-11 20:03:58
SO-0044,C-096,MAT-0169,7,Open,Central,2026-08-11 20:03:24
SO-0045,C-074,MAT-0201,45,Closed,East,2026-08-11 20:02:37
SO-0046,C-033,MAT-0164,78,Open,East,2026-08-11 20:02:05
SO-0047,C-098,MAT-0103,99,Closed,East,2026-08-11 20:02:05
SO-0048,C-007,MAT-0445,45,Closed,South,2026-08-11 20:03:26
